artigoEmPeriodico	2015	http://dx.doi.org/10.1016/j.infsof.2014.11.001	A systematic literature review on the barriers faced by newcomers to open source software projects	Information and Software Technology	STEINMACHER, IGOR ; GRACIOTTO SILVA, MARCO AURELIO ; GEROSA, MARCO AURELIO ; REDMILES, DAVID F.	A2	
artigoEmPeriodico	2015		Do historical metrics and developers communication aid to predict change couplings?	Revista IEEE América Latina	WIESE, I. S. ; KURODA, R. T. ; RÉ, R. ; BULHOES, R. ; OLIVA, G. A. ; GEROSA, M. A.	B5	
artigoEmPeriodico	2014	http://dx.doi.org/10.18011/bioeng2014v8n2p173-182	CHARACTERISTICS AND RISKS IN THE APPLICATION OF ADJUVANTS IN AGRICULTURAL SPRAYING / ANÁLISE DAS CARACTERÍSTICAS E RISCOS DA UTILIZAÇÃO DE ADJUVANTES PARA PULVERIZAÇÃO AGRÍCOLA	Revista Brasileira de Engenharia de Biossistemas	PUTTI, F. F. ; GABRIEL FILHO, L. R. A. ; BERTIN, F. H. A. ; CREMASCO, C. P. ; CATANEO, P. F. ; CHACUR, M. G. M. ; HALMEMAN, M. C. R. ; HALMEMAN, R. J.	Qualis nao identificado	Revista Brasileira de Engenharia de Biossistemas
artigoEmPeriodico	2014	http://dx.doi.org/10.5329/resi.2014.1302005	HISTORICAL ANALYSIS OF MESSAGE CONTENTS TO RECOMMEND ISSUES TO OPEN SOURCE SOFTWARE CONTRIBUTORS	RESI : Revista Eletrônica de Sistemas de Informação	STEINMACHER, Igor Fábio ; WIESE, Igor Scaliante ; SCHWERZ, André Luís ; ROBERTO, Rafael Liberato ; FERREIRA, João Eduardo ; GEROSA, Marco Aurélio	B4	
artigoEmPeriodico	2014		Comparing communication and development networks for predicting file change proneness: An exploratory study considering process and social metrics	Electronic Communications of the EASST	WIESE, IGOR S. ; NASSIF JUNIOR, D. ; RÉ, Reginaldo ; STEINMACHER, IGOR ; GEROSA, Marco Aurelio	B2	
artigoEmPeriodico	2013		Análise estatística de parâmetros elétricos em usinas sucroalcoleiras do centro-oeste paulista	Energia na Agricultura (UNESP. Botucatu. Impresso)	Halmeman, M.C.R ; GABRIEL FILHO, L. R. A. ; SERAPHIM, O. J. ; PEREA, L. A. ; HALMEMAN, Radames Juliano	Qualis nao identificado	Energia na Agricultura (UNESP. Botucatu. Impresso)
artigoEmPeriodico	2013		Utilização de Dispositivos de Interfaces Naturais de Usuário em Aplicações de Realidade Aumentada	Tendências e Técnicas em Realidade Virtual e Aumentada	KAWAMOTO, A. L. S. ; Corrêa a da Silva, F	Qualis nao identificado	Tendências e Técnicas em Realidade Virtual e Aumentada
artigoEmPeriodico	2013	http://dx.doi.org/10.5335/rbca.2013.3269	Application designed for the elderly using gestural interface	Revista Brasileira de Computação Aplicada	KAWAMOTO, A. L. S. ; MARTINS, VALERIA FARINAZZO	B5	
artigoEmPeriodico	2013	http://dx.doi.org/10.17224/EnergAgric.2013v28n1p33-39	ANÁLISE ESTATÍSTICA DE PARÂMETROS ELÉTRICOS EM USINAS SUCROALCOLEIRAS DO CENTRO-OESTE PAULISTA	Energia na Agricultura (UNESP. Botucatú. CD-Rom)	RODRIGUES HALMEMAN, MARIA CRISTINA ; GABRIEL FILHO, LUÍS ROBERTO A. ; SERAPHIM, ODIVALDO JOSÉ ; PEREA, LUIZ ANTONIO ; HALMEMAN, Radames Juliano	Qualis nao identificado	Energia na Agricultura (UNESP. Botucatú. CD-Rom)
artigoEmPeriodico	2013		Dependência Espacial de Atributos Diagnósticos para Delimitação de Classes de Solos.	Geociências (São Paulo. Online)	SILVA, A. F. ; HALMEMAN, Radames Juliano ; ZIMBACK, C. R. L.	Qualis nao identificado	Geociências (São Paulo. Online)
